date,underlying,to_pct,exchange,decision_to
20240626,CRUDEOIL,0.012,CME,decrease
20240626,EMINI,0.168,CME,decrease
20240626,EMINIRUS,0.024,CME,decrease
20240626,HEATINGOIL,0.224,CME,decrease
20240626,M2K_RY:0,0.028,CME,decrease
20240626,MNQ_NQ:0,0.756,CME,increase
20240626,SILVER,0.752,CME,increase
20240626,SYBEANIDR,0.064,CME,decrease
20240626,DOL,0.788,BRAZIL,increase
20240626,IND,0.04,BRAZIL,decrease
20240626,WDO,0.816,BRAZIL,increase
20240626,WIN,0.816,BRAZIL,increase
20240626,COPPER,0.88,MCX,increase
20240626,CRUDEOIL,0.008,MCX,decrease
20240626,GOLD,0.772,MCX,increase
20240626,GOLDM,0.772,MCX,increase
20240626,NATURALGAS,0.46,MCX,probably decrease
20240626,BANKNIFTY,0.792,NSE,increase
20240626,FINNIFTY,0.852,NSE,increase
20240626,MIDCPNIFTY,0.916,NSE,increase
20240626,stocks_top100,0.904,NSE,increase
20240626,stocks_top50,0.896,NSE,increase
20240626,stocks_all,0.904,NSE,increase
